Label,First release,Last release,Releases
2nd City,1997,1999,7
2nd City Records Inc,1999,2000,7
2nd Floor Edition,1991,2005,9
2nd Room Records,2004,2004,6
2nd Time,2000,2001,6
2nd To None Records,1982,1983,8
2ndsight,1997,2002,9
2way Records (2),2003,2003,6
3 Minute Mile Records,1990,1990,7
3 On The B Records,2005,2005,6
3 Valve Music,2001,2004,5
3 Wise Records,2001,2004,6
3 Worlds Music,1986,1989,8
3 beat music,1992,1993,8
3 citsyM Records,2002,2005,5
3-J's Records,1994,1997,6
3-Way Entertainment,1996,2000,5
30 Min Records,2001,2005,7
300 60 Degree Entertainment,1998,2001,5
301 Records (2),2000,2001,6
303F Records,2005,2005,5
304 Entertainment,2000,2000,8
30th Street Records Inc.,1987,1988,8
31 Recordings,2002,2002,5
310 West Entertainment,2003,2004,9
311 Music,2000,2001,7
31337 Records (2),1998,2005,5
315 Records,2001,2002,5
316,2004,2005,5
316 Records (2),1999,1999,7
317 Records,1998,1998,5
32 Pop,1997,1999,6
321 Records (2),1999,2000,5
333 (2),1994,1994,5
333 Entertainment,2000,2002,5
33cjl,2002,2002,7
33rpm Records / Sinewave,1992,1992,7
34 Viva Street,1995,1996,10
340M/S,2004,2005,5
354 Entertainment,2004,2005,5
357 Records (2),1999,2000,7
360°,2002,2003,9
365 Music,1996,1996,7
37 Gods,1998,1998,5
383 Records,1997,1997,7
391 Records,1986,1990,6
39°5 Records,1987,1988,6
3:16 Productions,1999,2001,7
3AW,1989,2001,6
3B (2),1999,1999,5
3Cell Records,2001,2001,5
3D Classics (2),1994,2005,7
3D Recordings,1998,1999,6
3DO,1996,2002,10
3Lune Records,2001,2003,6
3M&P Records,1995,1996,5
3M-OI,2001,2004,7
3Rio Tapes,1982,1985,10
3Suisses Musique,1994,1995,6
3TONE east,2003,2004,5
3Three Records,2002,2002,7
3ViTrePAIR,1987,1987,6
3XM Productions,1997,2005,5
3dB,1998,1998,6
3rd Degree Records,1995,1999,5
3rd Eye Records,1994,1994,6
3rd Level Records,2000,2003,6
3rd Mind Records,1997,1997,9
3rd Party Artist Recordings,2001,2002,7
3rd Stone From The Sun,1999,2003,6
3rd Street Records,1982,1983,7
3rd Stryke Muzik,2003,2005,5
3way Music,1999,2001,9
3yar Records,2002,2005,7
3耀唱片,1998,1998,8
4 1/2 Finger Records,1991,1995,7
4 Alarm Records,1999,1999,8
4 All Ages,1997,1998,5
4 Dimensions,1998,2004,10
4 Dogs Records,2002,2005,8
4 Foot 11,2000,2002,6
4 FunMusic,1999,2003,9
4 Liberty Underground,1997,1997,6
4 Life Records,1995,1995,9
4 Music,1999,2003,7
4 Real,2000,2000,6
4 Sho Records,1999,1999,6
4 Tracklords,1999,2004,7
4 Tune,1990,1990,7
40 Records,1999,2001,9
4000 Holes,1990,1993,10
"404 Music Group, Inc.",1998,1999,5
41 Records (4),1999,2000,5
411 Records,1985,1985,8
43 Records,1999,2000,5
44 Caliber Records,1989,1993,8
